PLAYER,YEAR,POS,HEIGHT,WEIGHT,STANDING REACH,WINGSPAN,STANDING VERTICAL,VERTICAL LEAP,LANE AGILITY,THREE QUARTER SPRINT
Ochai Agbaji,2022,SG,76.5,216.8,104.0,82.25,32.0,39.0,10.77,3.13
Patrick Baldwin Jr.,2022,SF,81.25,230.8,110.5,85.75,23.5,26.5,12.25,3.45
Dominick Barlow,2022,PF,80.75,221.0,108.5,87.0,28.5,34.0,11.29,3.33
MarJon Beauchamp,2022,SG,77.25,196.6,106.0,84.75,29.7,35.2,11.3,3.3
Hugo Besson,2022,SG,76.5,180.4,102.0,77.5,24.5,31.5,11.36,3.4
Malaki Branham,2022,SG,76.0,194.8,102.5,82.0,29.0,35.0,11.38,3.17
Christian Braun,2022,SG,77.5,209.2,99.5,78.5,33.5,40.0,11.0,3.16
Kendall Brown,2022,SF,78.25,201.2,103.0,83.0,31.5,41.0,11.57,3.29
John Butler Jr.,2022,PF,83.75,174.4,112.0,86.25,26.5,28.5,11.16,3.33
Julian Champagnie,2022,SF,78.25,212.4,107.0,82.0,28.5,34.5,11.39,3.14
Kennedy Chandler,2022,PG,71.5,172.2,97.0,77.25,31.0,41.5,10.73,3.2
Max Christie,2022,SG,76.25,189.2,102.5,80.75,32.0,37.5,10.82,3.07
Kofi Cockburn,2022,C,83.0,293.0,110.5,88.25,29.5,32.5,12.11,3.33
Dyson Daniels,2022,SG,78.0,195.2,105.0,82.5,29.0,34.0,10.81,3.22
Johnny Davis,2022,PG,76.25,196.4,103.5,80.5,29.8,35.5,11.2,3.2
JD Davison,2022,PG,72.5,191.8,99.5,78.5,30.0,37.0,11.38,3.26
Moussa Diabate,2022,C,81.25,216.6,109.5,86.5,29.0,36.5,11.16,3.26
Tari Eason,2022,PF,78.75,217.4,107.5,86.0,29.0,34.1,11.5,3.3
Keon Ellis,2022,SG,75.5,167.4,102.0,80.5,28.0,35.5,10.87,3.18
Michael Foster Jr.,2022,C,79.75,236.6,109.5,84.25,28.0,32.5,11.49,3.22
Collin Gillespie,2022,PG,73.5,195.8,98.0,76.0,26.5,33.0,10.95,3.21
Ron Harper Jr.,2022,SF,76.0,240.4,105.5,85.25,26.0,30.5,11.41,3.4
Harrison Ingram,2022,SF,77.25,232.8,103.5,84.25,29.5,35.0,11.83,3.31
Nikola Jovic,2022,SF,81.5,222.6,108.5,84.25,28.6,33.3,11.6,3.3
Johnny Juzang,2022,SG,77.25,208.6,102.5,83.0,27.5,32.5,11.03,3.29
Trevor Keels,2022,SG,75.25,223.8,101.0,79.25,24.5,31.0,11.33,3.27
Walker Kessler,2022,C,84.25,256.0,113.0,88.25,27.5,31.5,12.0,3.4
Christian Koloko,2022,C,82.75,221.0,113.0,89.25,28.0,33.5,11.3,3.27
Jake LaRavia,2022,PF,78.75,227.2,104.0,81.5,27.5,34.0,10.58,3.37
Justin Lewis,2022,PF,78.25,235.4,105.5,86.5,32.5,35.0,11.49,3.23
E.J. Liddell,2022,PF,77.5,243.0,103.5,83.75,35.5,38.0,11.11,3.26
Bennedict Mathurin,2022,SG,76.5,204.6,104.0,81.0,29.6,35.1,11.3,3.3
Matthew Mayer,2022,SF,80.0,216.4,105.0,82.5,25.5,31.5,10.74,3.39
Bryce McGowens,2022,SG,77.25,181.2,103.5,80.75,29.5,34.0,11.12,3.27
Leonard Miller,2022,SF,80.5,211.0,106.5,86.0,30.0,36.5,11.11,3.36
Aminu Mohammed,2022,SG/SF,75.5,212.8,104.0,83.0,29.5,36.0,11.54,3.33
Iverson Molinar,2022,PG,74.25,183.2,101.0,80.0,31.0,38.0,11.23,3.19
Jean Montero,2022,PG,73.0,171.8,98.5,77.25,29.5,37.0,11.19,3.17
Wendell Moore,2022,SG,76.25,217.2,101.0,84.5,32.5,38.5,10.94,3.3
Andrew Nembhard,2022,PG,75.0,195.6,99.0,77.75,26.5,35.0,10.46,3.26
Scotty Pippen Jr.,2022,PG,72.0,180.0,95.5,77.75,30.5,37.5,11.07,3.21
Gabriele Procida,2022,SG/SF,77.75,192.8,106.0,80.0,29.5,35.0,11.02,3.07
Orlando Robinson,2022,C,81.75,244.4,111.0,88.0,23.0,27.5,11.4,3.55
David Roddy,2022,PF,76.5,260.8,105.0,83.5,27.0,35.5,10.75,3.22
Ryan Rollins,2022,SG,74.0,179.2,100.5,81.75,30.5,36.5,11.26,3.07
Dereon Seabron,2022,SG,76.75,182.4,103.5,80.75,30.5,38.0,11.03,3.12
Shaedon Sharpe,2022,SG,76.25,198.0,103.5,83.5,29.8,35.4,11.2,3.2
Terquavion Smith,2022,SG,74.25,165.2,98.0,78.5,30.5,38.5,10.63,3.14
Matteo Spagnolo,2022,PG,76.0,196.2,102.0,80.0,25.5,31.5,11.42,3.4
Julian Strawther,2022,SF,77.75,207.6,104.5,81.5,28.5,35.0,10.3,3.26
Dalen Terry,2022,SG,78.0,195.2,106.0,84.75,29.6,35.1,11.3,3.3
Drew Timme,2022,C,80.25,231.6,107.5,86.0,25.5,31.5,11.71,3.38
Jabari Walker,2022,PF,78.75,213.8,105.0,82.75,29.5,32.5,11.53,3.24
TyTy Washington Jr.,2022,SG,74.25,196.4,99.5,80.0,30.1,35.9,11.2,3.2
Peyton Watson,2022,SF,78.75,203.4,107.5,84.5,28.0,33.5,11.03,3.28
Blake Wesley,2022,SG,75.0,187.2,103.0,81.25,30.0,36.0,11.55,3.21
Alondes Williams,2022,SG,75.75,209.0,102.0,79.0,30.0,35.5,10.96,3.15
