peak_Player-additional,peak_Age,peak_G,peak_GS,peak_MP,peak_FG,peak_FGA,peak_FG%,peak_3P,peak_3PA,peak_3P%,peak_2P,peak_2PA,peak_2P%,peak_FT,peak_FTA,peak_FT%,peak_ORB,peak_DRB,peak_TRB,peak_AST,peak_STL,peak_BLK,peak_TOV,peak_PF,peak_PTS,peak_ORtg,peak_DRtg,peak_AST_2_TOV,peak_AST_2_FG,peak_PPP,peak_Season,peak_PER,peak_TS%,peak_3PAr,peak_FTr,peak_ORB%,peak_DRB%,peak_TRB%,peak_AST%,peak_STL%,peak_BLK%,peak_TOV%,peak_USG%,peak_OWS,peak_DWS,peak_WS,peak_WS/48,peak_OBPM,peak_DBPM,peak_BPM,peak_VORP,peak_Dist.,peak_2P_prop,peak_0-3_prop,peak_3-10_prop,peak_10-16_prop,peak_16-3P_prop,peak_3P_prop,peak_2P_fg%,peak_0-3_fg%,peak_3-10_fg%,peak_10-16_fg%,peak_16-3P_fg%,peak_3P_fg%,peak_2P_%astd,peak_3P_%astd,peak_dunk_%FGA,peak_dunk_#,peak_corner_%3PA,peak_corner_3P%,peak_heave_Att.,peak_heave_#
abdulta01,27.0,24.0,12.0,18.38,6.6,17.7,0.37,0.1,0.2,0.5,6.5,17.4,0.37,2.9,4.0,0.73,4.9,5.2,10.1,2.9,2.4,1.2,3.2,6.7,16.2,90.0,107.0,0.91,0.16,0.71,2001.0,9.8,0.42,0.01,0.22,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,-0.3,0.3,0.0,-0.0,-3.4,-0.3,-3.7,-0.2,8.1,0.99,0.4,0.22,0.13,0.24,0.01,0.37,0.55,0.44,0.21,0.11,0.5,0.67,1.0,0.07,8.0,0.0,0.0,0.0,0.0
abdursh01,26.0,81.0,71.33,36.13,10.07,21.3,0.47,0.33,0.97,0.3,9.73,20.37,0.48,7.5,9.0,0.84,3.43,8.77,12.2,3.93,1.53,0.9,3.9,4.1,27.93,108.67,105.33,1.01,0.18,0.96,2002.0,19.87,0.55,0.05,0.42,7.5,18.67,13.13,14.03,1.53,1.3,13.33,25.2,5.87,2.47,8.33,0.14,2.17,-0.53,1.63,2.67,8.47,0.95,0.34,0.29,0.13,0.2,0.05,0.48,0.6,0.43,0.41,0.39,0.3,0.53,0.96,0.08,87.67,0.25,0.42,0.67,0.0
abrinal01,24.0,58.0,5.33,16.53,5.2,13.7,0.38,3.8,10.43,0.36,1.5,3.3,0.46,1.57,1.77,0.89,0.77,3.5,4.27,1.57,1.57,0.43,1.23,4.97,15.8,110.67,110.33,1.27,0.11,1.0,2017.0,8.47,0.54,0.76,0.13,1.77,7.93,4.77,4.4,1.57,0.7,7.87,13.6,0.87,0.83,1.63,0.08,-2.3,0.13,-2.13,0.0,21.07,0.24,0.12,0.04,0.03,0.05,0.76,0.46,0.53,0.4,0.43,0.34,0.36,0.65,0.97,0.02,5.0,0.23,0.39,1.67,0.0
ackeral01,26.0,25.0,0.0,7.96,7.9,20.0,0.4,1.8,5.3,0.35,6.1,14.8,0.41,1.3,2.6,0.5,2.1,4.2,6.3,3.2,1.3,1.1,1.8,2.4,19.0,94.0,114.0,1.78,0.16,0.83,2008.0,10.4,0.45,0.26,0.13,4.5,9.6,7.0,10.2,1.3,1.5,8.0,20.1,-0.1,0.1,0.0,-0.01,-1.8,-1.7,-3.6,-0.1,14.7,0.74,0.22,0.07,0.12,0.33,0.26,0.41,0.29,0.4,0.56,0.44,0.35,0.48,0.71,0.01,0.0,0.45,0.22,0.0,0.0
acyqu01,23.33,50.33,9.67,13.36,5.67,10.6,0.53,0.47,1.3,0.38,5.2,9.3,0.55,3.2,4.27,0.74,4.2,7.57,11.77,1.63,1.67,1.73,1.97,7.03,15.03,117.67,106.67,0.87,0.16,1.03,2013.33,13.57,0.59,0.12,0.4,9.3,17.07,13.13,4.83,1.67,2.73,13.67,12.63,1.03,0.67,1.7,0.13,-1.23,0.67,-0.57,0.23,8.6,0.88,0.5,0.14,0.05,0.19,0.12,0.55,0.66,0.42,0.48,0.39,0.38,0.71,0.98,0.22,29.0,0.5,0.61,0.0,0.0
adamsha01,22.0,61.0,8.0,8.11,8.0,14.3,0.56,0.0,0.1,0.0,8.0,14.2,0.56,2.5,3.8,0.67,3.7,4.5,8.2,1.4,1.8,0.4,2.3,5.0,18.5,109.0,107.0,0.61,0.1,1.01,2006.0,13.0,0.58,0.01,0.27,8.4,9.9,9.2,4.5,1.8,0.6,12.7,16.3,0.5,0.5,1.0,0.1,-1.3,-0.2,-1.5,0.1,5.2,0.99,0.68,0.06,0.07,0.18,0.01,0.56,0.65,0.0,0.3,0.5,0.0,0.75,0.0,0.11,15.0,0.0,0.0,0.0,0.0
adamsja01,22.0,34.0,1.0,12.59,4.1,11.9,0.34,2.7,8.0,0.34,1.4,3.9,0.36,0.8,1.0,0.78,1.2,5.3,6.5,7.0,1.5,0.5,3.0,4.9,11.7,99.0,115.0,2.33,0.59,0.76,2018.0,7.6,0.47,0.67,0.08,2.6,12.3,7.4,19.8,1.5,1.0,19.7,13.5,-0.1,0.2,0.1,0.01,-3.8,-0.5,-4.3,-0.2,20.2,0.33,0.12,0.08,0.07,0.06,0.67,0.36,0.54,0.11,0.25,0.5,0.34,0.23,0.84,0.0,0.0,0.15,0.18,1.0,0.0
adamsst01,26.0,71.67,71.33,28.56,7.37,12.4,0.59,0.0,0.03,0.11,7.37,12.37,0.59,3.07,5.43,0.56,7.37,8.9,16.27,4.03,1.63,1.63,2.7,3.83,17.83,124.0,107.0,1.48,0.36,1.01,2019.0,19.57,0.6,0.0,0.45,16.17,19.97,18.13,11.6,1.63,2.97,15.7,15.33,4.77,2.9,7.67,0.18,1.53,0.5,2.0,2.03,3.3,1.0,0.64,0.3,0.06,0.0,0.0,0.59,0.69,0.42,0.49,0.33,0.11,0.62,0.33,0.19,92.0,0.11,0.0,1.33,0.33
adebaba01,23.0,64.0,64.0,33.21,10.2,18.17,0.56,0.0,0.23,0.13,10.13,17.97,0.57,6.3,8.4,0.75,3.57,11.0,14.53,6.87,1.87,1.53,4.03,3.93,26.7,118.33,106.0,1.71,0.38,1.03,2020.0,21.6,0.61,0.01,0.46,8.3,24.53,16.6,22.87,1.87,3.2,15.67,23.3,4.6,3.53,8.17,0.18,2.0,2.03,4.03,3.23,6.8,0.99,0.41,0.3,0.19,0.08,0.01,0.57,0.76,0.46,0.42,0.31,0.13,0.66,0.5,0.2,137.67,0.23,0.04,1.0,0.0
adrieje01,25.67,42.67,5.67,13.46,6.33,13.73,0.46,0.0,0.03,0.0,6.33,13.67,0.46,3.9,6.27,0.62,5.47,9.83,15.33,2.47,1.2,1.77,2.27,6.33,16.6,107.0,108.33,1.09,0.18,0.88,2011.67,14.03,0.5,0.0,0.46,11.8,22.23,16.9,7.47,1.2,2.67,12.1,16.33,0.73,0.53,1.3,0.08,-1.8,-1.27,-3.07,-0.03,6.27,1.0,0.5,0.25,0.11,0.14,0.0,0.46,0.57,0.36,0.25,0.58,0.0,0.66,0.0,0.09,13.33,0.0,0.0,0.33,0.0
