ncaa_player_name,rookie_Age,ncaa_team,Full Role,scouting_report,projected_range,ncaa_rim_fg%,ncaa_mid_fg%,ncaa_3p%,length_pc1,explosive_pc2,P(Bust),P(Star),mean_AST_2_TOV,mean_AST_2_FG,mean_AST%,mean_TOV%,mean_USG%,mean_PPP,mean_0-3_prop,mean_3-10_prop,mean_10-16_prop,mean_16-3P_prop,mean_corner_%3PA,mean_2P_%astd,mean_3P_%astd,mean_0-3_fg%,mean_3-10_fg%,mean_10-16_fg%,mean_16-3P_fg%,mean_3P_fg%,mean_corner_3P%,mean_STL%,mean_BLK%,mean_ORB%,mean_DRB%,mean_3P_prop_not_corner,floor_AST_2_TOV,floor_AST_2_FG,floor_AST%,floor_TOV%,floor_USG%,floor_PPP,floor_0-3_prop,floor_3-10_prop,floor_10-16_prop,floor_16-3P_prop,floor_corner_%3PA,floor_2P_%astd,floor_3P_%astd,floor_0-3_fg%,floor_3-10_fg%,floor_10-16_fg%,floor_16-3P_fg%,floor_3P_fg%,floor_corner_3P%,floor_STL%,floor_BLK%,floor_ORB%,floor_DRB%,floor_3P_prop_not_corner,ceiling_AST_2_TOV,ceiling_AST_2_FG,ceiling_AST%,ceiling_TOV%,ceiling_USG%,ceiling_PPP,ceiling_0-3_prop,ceiling_3-10_prop,ceiling_10-16_prop,ceiling_16-3P_prop,ceiling_corner_%3PA,ceiling_2P_%astd,ceiling_3P_%astd,ceiling_0-3_fg%,ceiling_3-10_fg%,ceiling_10-16_fg%,ceiling_16-3P_fg%,ceiling_3P_fg%,ceiling_corner_3P%,ceiling_STL%,ceiling_BLK%,ceiling_ORB%,ceiling_DRB%,ceiling_3P_prop_not_corner,Mean_Primary_Cluster,Mean_Primary_Cluster_Prob,Mean_Secondary_Cluster,Mean_Secondary_Cluster_Prob,Mean Full Role,floor_Primary_Cluster,floor_Primary_Cluster_Prob,floor_Secondary_Cluster,floor_Secondary_Cluster_Prob,floor Full Role,ceiling_Primary_Cluster,ceiling_Primary_Cluster_Prob,ceiling_Secondary_Cluster,ceiling_Secondary_Cluster_Prob,ceiling Full Role,floor_comp,floor_comp_id,floor_comp_pts,floor_comp_reb,floor_comp_ast,floor_comp_dbpm,med_comp,med_comp_id,med_comp_pts,med_comp_reb,med_comp_ast,med_comp_dbpm,ceiling_comp,ceiling_comp_id,ceiling_comp_pts,ceiling_comp_reb,ceiling_comp_ast,ceiling_comp_dbpm
Brandon Miller,20,Alabama,Scoring Wing,Miller has what it takes to be an elite two-way star with his size and stroke. He'll need to improve at the rim and ball-handling to hit that.,Top 3,-0.9241271435548051,-0.6707260314907638,0.5655724806599354,-1.044236159568098,-0.3664928475628795,0.06533528880988687,0.084,1.66299524564184,0.23225039619651353,12.224833597464334,11.422900158478594,19.270332805071313,0.9832012678288429,0.26987321711568896,0.17160063391442146,0.0793185419968303,0.08511885895404124,0.11065721077654511,0.3362328050713158,0.35535610142630736,0.6570681458003176,0.394025356576862,0.3789381933438991,0.3444532488114106,0.33787638668779796,0.3586053882725835,1.5791917591125195,1.6146434231378761,4.624532488114109,15.409667194928678,0.2832096671949285,1.5044796012077433,0.2129653548996299,10.969260437878871,10.284087176056268,18.33224836771965,0.954875873914518,0.2496478380375414,0.16296619384795752,0.07050592757614653,0.07098749439199462,0.10106245452720773,0.2861241688183446,0.3376526189641468,0.6438869067031509,0.39064143307380594,0.3700397214778073,0.34247366802754625,0.3341535677073119,0.3430545514656497,1.5323647266732399,1.1087587851408478,3.8407143746538517,14.073978901448472,0.2548240007054975,1.782923383740791,0.24529513643351292,13.114927022136545,11.959478049225526,20.01407582849928,1.0009776591789976,0.28775809114896816,0.189273852838927,0.08003821259286772,0.08912350722376985,0.13308152850214558,0.3986114368276279,0.40381151618809286,0.6637647891730545,0.40919650047458156,0.38989865511793126,0.37021493576045195,0.3549634549163445,0.3794064519164246,1.6105025908973731,1.8448473495774753,5.175021787763189,17.111226802941992,0.2933016649776625,Floor Spacer,0.697,Skilled Big,0.299,Stretch Four,Floor Spacer,0.803,None,0.182,Floor Spacer,Floor Spacer,0.566,Skilled Big,0.433,Stretch Four,James Young,youngja01,12.73,6.2,1.7,0.1,Terrence Ross,rosste01,23.47,6.0,2.23,-0.27,Brandon Ingram,ingrabr01,32.87,7.93,6.87,-0.7
Jarace Walker,19,Houston,Skilled Forward,"Walker is a stocky, explosive player that needs to lean into his size a bit more. Has the tools to be a plus-defender three through five and an underrated scorer.",4 to 10,0.9684715523235699,0.12723374367857673,0.15287516008557364,-0.2360100614498436,-2.08947660478122,0.14321276774060232,0.08513333333333332,1.5692709984152144,0.24025356576862142,12.663185419968304,12.156624405705225,19.39362916006338,0.9800475435816169,0.32554675118858883,0.19080824088748027,0.0767194928684628,0.07865293185419964,0.09336973058637091,0.3791729001584796,0.2934342313787642,0.6691917591125202,0.393438985736925,0.36042789223454774,0.3432329635499211,0.31210776545166474,0.3280031695721075,1.6280824088748007,2.1169255150554687,5.536212361331226,16.701679873217117,0.23483946117274165,1.4451932364950444,0.2202482247899624,11.021421015145672,11.648682928977578,18.33224836771965,0.9542882829427426,0.2881062031457336,0.17875617851094255,0.07050592757614653,0.0610069134600781,0.07954745583379493,0.30713152534190874,0.26452285154294664,0.6635924043275779,0.39044138474541273,0.33602910353489457,0.3428465344074419,0.29042945191375275,0.30186154982209507,1.537464458244917,1.5145725955122051,4.250317249646701,15.782740122492052,0.1905841037189989,1.6301524480647256,0.26557644970430855,13.7282803663269,12.368939428546208,19.947010932762993,0.9864017871070443,0.36422954578293143,0.20439882640198717,0.08003821259286772,0.08002574824483541,0.09881197114505584,0.4169158886295013,0.30259283330326225,0.6964502919125022,0.40860712782092434,0.36509775828941377,0.3598885249797612,0.34510968300374145,0.33264056656024393,1.683674190782561,2.3942417357264696,6.471439638006222,18.02603977267892,0.2463326186245886,Skilled Big,0.998,None,0.001,Skilled Big,Skilled Big,0.995,None,0.003,Skilled Big,Skilled Big,0.996,None,0.003,Skilled Big,Marquese Chriss,chrisma01,20.0,12.2,2.93,0.3,Michael Kidd-Gilchrist,kiddgmi01,16.97,12.27,2.23,0.77,Gordon Hayward,haywago01,29.43,8.5,5.83,0.37
Anthony Black,19,Arkansas,Skilled Creator,Black may be the best on-ball defender in this class. He couples that with excellent playmaking ability. His only drawback is the lack of a consistent shot.,4 to 10,-0.09724764370193952,-0.9079148622989732,-0.36020799522309166,0.8055577862292909,-0.39833035219797636,0.18347068798361832,0.12908571428571428,1.862155309033279,0.3364500792393033,18.425087163232952,13.630507131537234,20.827844690966735,0.9409508716323292,0.295847860538827,0.1849762282091916,0.08505546751188592,0.09152139461172754,0.09150364500792392,0.28355641838351814,0.281741521394612,0.6341679873217126,0.38187004754358106,0.37540412044373966,0.35828843106180674,0.3231854199683048,0.34400950871632346,1.8514104595879568,1.520744849445324,3.753312202852619,13.606148969889073,0.2508893819334389,1.8587769817480855,0.2628610751022187,16.0310605292929,13.60638095373627,21.280018645187653,0.9224519236741375,0.2727093009060766,0.17937899971629098,0.07914936169699872,0.08192899775628348,0.07952591470503795,0.2604100169156783,0.23607128594956725,0.6286114214643083,0.3517549756938019,0.3719459425978583,0.343305002514038,0.3101689104300481,0.31768191812538177,1.854137637284791,1.118790083576557,3.0867881527705907,12.826796097766087,0.20655336418259365,2.0456734043559064,0.3821497833772833,21.02422378167618,14.738797744520527,22.620673332163015,0.939781700281336,0.3349715829334909,0.2099997565391622,0.09062463547763648,0.09907866473574256,0.09649712516346177,0.2911729905590872,0.29259469941495786,0.6348459916427911,0.3898978650708642,0.3895785125091516,0.3700898133328868,0.344001872287273,0.3734130123465079,2.0765055080117265,1.7263358331538192,3.866008569229389,15.389872399504041,0.2711384143163392,Pass-First Playmaker,0.866,None,0.068,Pass-First Playmaker,Pass-First Playmaker,0.668,Interior Offensive Hub,0.218,Floor General,Pass-First Playmaker,0.932,None,0.042,Pass-First Playmaker,Eric Bledsoe,bledser01,27.17,6.8,8.6,0.97,Shai Gilgeous-Alexander,gilgesh01,36.6,6.73,7.97,0.73,Bradley Beal,bealbr01,35.27,5.63,5.87,-1.07
Taylor Hendricks,19,UCF,Skilled Forward,"Hendricks is the modern NBA specimen, as a rim-protecting sharpshooter. Strong at both ends of the floor,  can he be more than a super role-player?",4 to 10,0.21077320584484643,-0.05811911748280511,0.6771122970313845,-1.6768580750249575,-0.6470764735324701,0.15370307290172297,0.056,1.533961965134707,0.21207606973058654,11.373708399366077,11.328668779714729,19.411568938193355,0.9828843106180665,0.2919651347068149,0.18055467511885862,0.07827258320126775,0.08567353407290003,0.10189809825673528,0.3699706814580039,0.3294045958795557,0.6651505546751197,0.39904912836767065,0.3622345483359739,0.3407606973058637,0.32391442155309125,0.3446592709984156,1.5502377179080813,2.035055467511884,5.023232963549932,16.08922345483358,0.2622223454833597,1.4443446495051286,0.17559664972520053,10.468775596001707,10.284087176056268,18.33224836771965,0.9542882829427426,0.26482328396763744,0.17929150488328038,0.07050592757614653,0.07098749439199462,0.07954745583379493,0.30713152534190874,0.3096954729218947,0.6584536115023095,0.39977008417650994,0.3361060873815518,0.32301080950805766,0.31079829390332453,0.3181223253496061,1.4489552111102018,1.5136646931937499,3.9480767506499013,15.380593463441505,0.23165678576097135,1.6221195218955065,0.2111128654937992,11.990470936351018,11.957811535852118,19.947010932762993,1.0009776591789976,0.3146200716959305,0.19954178107930443,0.08003821259286772,0.08912350722376985,0.11561177244230413,0.4081473161205776,0.36669361512881227,0.681371630576228,0.41876186331411835,0.36956391812726125,0.3571879917944172,0.3466028023472123,0.3889334573386581,1.5824607412295935,2.3942417357264696,5.793669029230944,17.568905535255197,0.27584678777023197,Skilled Big,0.975,None,0.022,Skilled Big,Skilled Big,0.985,None,0.01,Skilled Big,Skilled Big,0.985,None,0.013,Skilled Big,Marquese Chriss,chrisma01,20.0,12.2,2.93,0.3,Jonathan Isaac,isaacjo01,17.0,10.2,2.0,2.1,Andrew Wiggins,wiggian01,27.37,6.87,3.9,-0.57
Cam Whitmore,19,Villanova,Scoring Wing,Whitmore is an incredible athlete with real shot creation ability. He needs better court vision to contribute to winning basketball.,4 to 10,0.3886676002355036,-1.1466744800661772,0.10825923353699463,1.4041361211084606,-1.982873967702139,0.1823675374862414,0.12628571428571428,1.54242472266244,0.22351822503961946,12.7178446909667,11.629984152139448,20.41058637083994,0.9787797147385087,0.2859112519809825,0.1785736925515053,0.0793977812995244,0.08776545166402532,0.09955150554675107,0.34466751188589595,0.323788114104596,0.6575911251980984,0.40052297939778103,0.3655784469096673,0.3514104595879556,0.32930269413629215,0.3517908082408871,1.6043581616481783,1.7341521394611723,4.550174326465929,15.685071315372408,0.26911727416798764,1.4443446495051286,0.1975055783384809,11.008925916980234,10.733136319236216,19.86566086867181,0.9542882829427426,0.262589250142895,0.17929150488328038,0.07050592757614653,0.07212304189603355,0.07952591470503795,0.30183225090366844,0.3050427254886786,0.6438869067031509,0.4103128529687541,0.3395773026024388,0.34247366802754625,0.32405136391762174,0.3430545514656497,1.5352057537457624,1.4136767574679814,3.8407143746538517,14.073978901448472,0.2504153888272654,1.6217138114290037,0.23577451731236626,13.667135799091087,11.957811535852118,21.72159557671568,0.986526374410183,0.29778467236326195,0.19954178107930443,0.08003821259286772,0.09768805243319087,0.11552860461054633,0.3986114368276279,0.36492586630958135,0.6637647891730545,0.41892727742597147,0.3694419467822743,0.37021493576045195,0.34656635258333296,0.3794064519164246,1.6586086745732458,1.9236855628739968,5.175021787763189,17.111226802941992,0.2933016649776625,Skilled Big,0.564,Floor Spacer,0.339,Stretch Four,Skilled Big,0.801,None,0.165,Skilled Big,Skilled Big,0.463,Floor Spacer,0.434,Stretch Four,Lonnie Walker IV,walkelo01,22.67,5.37,3.37,-0.93,Josh Okogie,okogijo01,15.83,7.87,3.03,0.47,Aaron Gordon,gordoaa01,22.97,11.63,4.53,0.03
Kobe Bufkin,20,Michigan,Lead Guard,"A breakout sophomore guard , Kobe Bufkin is a strong three level scorer and offensive driver. He's a good lateral defender but limited to guarding only guards.",Mid First,0.8844658660835358,0.21048545250529965,0.24210701318273295,0.40495767512410225,1.071551664596279,0.3313617266466045,0.044,1.83822503961965,0.2672107765451669,13.994310618066551,11.80854199683042,19.236228209191754,0.955245641838351,0.25453248811410445,0.16654516640253583,0.08359746434231385,0.09244057052297946,0.1158828843106179,0.3021096671949291,0.35152282091917597,0.639270998415215,0.3820285261489699,0.377797147385103,0.3590491283676704,0.33683042789223516,0.36407290015847865,1.6575594294770204,1.3953090332805074,3.446053882725835,13.307496038034847,0.28692218700475414,1.6256041699492287,0.2303818237786587,13.278117749165252,10.800647224301787,18.318980149453196,0.941577841096152,0.231472408067176,0.14512597402896332,0.07916880711546286,0.08192899775628348,0.1061881202194465,0.2633452540861902,0.3376526189641468,0.6299997679370536,0.3517549756938019,0.3699459425978583,0.3503785622930468,0.3336670048279992,0.3519042061271011,1.5491630664018043,1.1182567426507029,2.4710995762604937,12.441039351240429,0.2548240007054975,1.9133121016036037,0.28883220133519644,15.344824542147588,11.959478049225526,20.01407582849928,0.9624432055541904,0.27487227249164187,0.1793161796346629,0.08567834988002404,0.09907866473574256,0.13660270248630588,0.32033749824210855,0.4033050673801909,0.658681480776685,0.3898978650708642,0.38998627059676133,0.3700898133328868,0.35305161737741964,0.3745063340787551,1.8014036457445923,1.4704988702831432,3.4364578311361003,14.326690909597774,0.2971033401523374,Scoring Guard,0.838,None,0.085,Scoring Guard,Scoring Guard,0.938,None,0.026,Scoring Guard,Scoring Guard,0.751,None,0.168,Scoring Guard,James Anderson,anderja01,17.57,6.5,3.9,-0.37,Terrence Ross,rosste01,23.47,6.0,2.23,-0.27,Kentavious Caldwell-Pope,caldwke01,20.07,5.87,3.2,0.6
Keyonte George,19,Baylor,Lead Guard,"George is a natural scorer, able to get buckets at all three-levels. While not always the most efficient, he's a good ball-handler and passer and puts in a shift on defense.",Mid First,-0.8187082431751573,-0.62674399663891,0.052489325351270065,0.882638747316767,0.3455046650016296,0.3187761967399168,0.084,1.7330110935023768,0.25738510301109374,14.205847860538821,12.048621236133112,20.05226624405705,0.9570839936608545,0.2592393026941366,0.16491283676703644,0.08530903328050717,0.09139461172741685,0.10839191759112511,0.2964389857369261,0.34229667194928703,0.6423930269413629,0.3897781299524558,0.3865610142630748,0.3562916006339144,0.3380348652931864,0.35851030110935045,1.6657844690966725,1.3436133122028506,3.6534389857369303,13.590855784469067,0.29026101426307493,1.6015362113285982,0.23047751623939552,13.524242075753273,11.45771115456295,19.623751356673473,0.9455125976148893,0.2340241960255115,0.14512597402896332,0.07916880711546286,0.08192899775628348,0.09736962272305581,0.2633452540861902,0.3220427639348348,0.6319272767644774,0.36475077044007564,0.3782214789080305,0.343305002514038,0.3336670048279992,0.3426141442414254,1.5468012805251241,1.1182567426507029,3.059467971568084,12.81911300287742,0.2728358378220611,1.899304251737258,0.2630184259035933,15.344824542147588,12.368939428546208,21.207815332451972,0.985149698921445,0.28775809114896816,0.17930290633303375,0.09045848178738759,0.09907866473574256,0.13316878786550415,0.32033749824210855,0.3829421511541957,0.6602782338895221,0.40979719295376504,0.39984419424059864,0.3700898133328868,0.3522757111248648,0.3734130123465079,1.8014036457445923,1.4597991824138175,3.866008569229389,15.309971280681273,0.29733436759896514,Scoring Guard,0.948,None,0.03,Scoring Guard,Scoring Guard,0.982,None,0.009,Scoring Guard,Scoring Guard,0.93,None,0.034,Scoring Guard,Austin Rivers,riverau01,20.03,4.03,5.17,-0.53,Collin Sexton,sextoco01,31.07,4.47,5.43,-1.83,Avery Bradley,bradlav01,21.73,5.9,3.23,0.17
Gradey Dick,19,Kansas,Off-Ball Scorer,Tall confident sharpshooter that can score in other ways off the ball. Weak on-ball defense but can stay on the floor in team defense settings.,Mid First,-0.33608733987457967,-0.6707260314907638,0.7774981317656887,-0.5004676800695057,1.592055432317889,0.25146831816097687,0.0808,1.8063708399366074,0.23535657686212383,13.337638668779684,10.878668779714728,20.100475435816193,0.9754199683042774,0.23464342313787634,0.15686212361331237,0.0895721077654516,0.10152139461172745,0.11301854199683027,0.3034946117274171,0.3610380348652931,0.6509667194928694,0.3990015847860535,0.39708399366085595,0.3655942947702056,0.3441679873217121,0.36830427892234574,1.6318858954041222,1.3611410459587958,3.4031695721077715,13.095705229793962,0.3037643423137877,1.6015362113285982,0.2129653548996299,11.18390672244791,9.53515033454713,19.694031250533516,0.9553862877173901,0.20268257513396895,0.13450488012396294,0.08099004680013962,0.10441519692974874,0.09957554654479996,0.2633452540861902,0.3373746210292079,0.6454650199146935,0.3999701325049032,0.4006976506990908,0.3637692490771965,0.3500624150774296,0.3519042061271011,1.5495083856677172,1.118941338656375,2.4768708663779715,12.40953615730349,0.28055727659469437,1.9161851909556833,0.24404013293867183,14.083004050089645,10.910263667071172,21.207815332451972,0.9857911201766094,0.23845774293063832,0.15919241756117275,0.09984004845956788,0.10934734685304257,0.13312289594008406,0.32033749824210855,0.4020682346405563,0.6637656713873143,0.42003650047458163,0.418973961076292,0.3894499390819025,0.3566508226934012,0.38696652790785235,1.6817834832793233,1.4597991824138175,3.4364578311361003,14.326690909597774,0.3338874235712769,Scoring Guard,0.9,None,0.041,Scoring Guard,Scoring Guard,0.901,None,0.046,Scoring Guard,Scoring Guard,0.872,None,0.059,Scoring Guard,James Young,youngja01,12.73,6.2,1.7,0.1,Ben McLemore,mclembe01,21.37,4.3,2.17,-1.33,Jamal Murray,murraja01,29.2,5.87,7.77,-0.93
Nick Smith Jr.,19,Arkansas,Off-Ball Scorer,"Smith was a top recruit, but struggled to make an impact on a stacked Arkansas team. He really struggled for efficiency and didn't find other ways to contribute.",Mid First,-2.2122143325686348,-0.23875961776720317,0.052489325351270065,0.882638747316767,0.3455046650016296,0.5374841913123933,0.142,1.7724564183835199,0.25467511885895416,14.279207606973047,11.702266244057029,20.288050713153726,0.961965134706813,0.24793977812995271,0.1698732171156894,0.09375594294770213,0.0997147385103013,0.10448431061806653,0.30305277337559483,0.331494294770206,0.6471949286846275,0.3946434231378755,0.3833122028526156,0.3560063391442149,0.3394770206022197,0.36223454833597435,1.5854358161648174,1.322345483359748,3.5927733755943025,13.476751188589517,0.2838675118858957,1.6015362113285982,0.23047751623939552,13.555823203353219,10.795418964474564,19.86566086867181,0.9455125976148893,0.2218053175679194,0.1634824306855583,0.09131973256551403,0.10065379630880991,0.09005461751198857,0.2633452540861902,0.3094174749869558,0.6319272767644774,0.39030927127904536,0.37202594259785826,0.343305002514038,0.3404303025206134,0.3519042061271011,1.531110797794675,1.1182567426507029,2.854464725892195,12.441039351240429,0.2527196743184134,1.9157794804891806,0.2630184259035933,15.344824542147588,11.957811535852118,21.788660472451966,0.984322743214108,0.26768630872842153,0.18941805197286254,0.09977548481393399,0.10934734685304257,0.11550860935459996,0.32033749824210855,0.36396094900139453,0.6637034266197432,0.42003650047458163,0.3862470391705278,0.3700898133328868,0.35305161737741964,0.3745063340787551,1.6583519317279873,1.460890559596512,3.4672406597442995,14.326690909597774,0.2927312249793885,Scoring Guard,0.947,None,0.03,Scoring Guard,Scoring Guard,0.942,None,0.042,Scoring Guard,Scoring Guard,0.96,None,0.027,Scoring Guard,James Young,youngja01,12.73,6.2,1.7,0.1,Austin Rivers,riverau01,20.03,4.03,5.17,-0.53,Brandon Knight,knighbr03,27.1,5.67,7.6,-1.33
Cason Wallace,19,Kentucky,Lead Guard,A quick point-of-attack defender that gets tangible defensive results with his steal numbers. Wallace will need to develop better shot creation to be a true NBA lead guard.,Mid First,1.2847282534625148,0.12409216976058754,0.14172117844842874,1.4302817741192697,0.4229671004951431,0.2598356904311765,0.10479999999999999,2.265435816164816,0.4140887480190173,19.829698890649727,14.138605388272596,19.281188589540413,0.9225515055467514,0.25381933438985743,0.17521394611727412,0.09071315372424707,0.09001584786053897,0.09921505546751204,0.23704912836767,0.32098605388272605,0.6148335974643419,0.3801109350237715,0.3761806656101423,0.3606497622820916,0.3316323296355002,0.3501743264659277,1.8765927099841548,1.3026148969889069,2.9170047543581625,12.414754358161655,0.2910385103011097,2.098373933048702,0.2628610751022187,16.021711590305422,13.581536474311129,18.29840191407206,0.8855309954249158,0.22194537227314487,0.1632244060074636,0.08959270768563136,0.08051945925334872,0.07954745583379493,0.19701490770169128,0.288940013930827,0.6096471625376229,0.35079118993426295,0.37162155850903034,0.3503785622930468,0.3303145826177108,0.341027385891692,1.8455587564241622,1.122978880299201,2.2553535875742887,10.82741452381313,0.269540711434977,2.424085621054932,0.42500384035384303,22.346154450946184,14.804244653341138,20.01407582849928,0.9256655573898342,0.27487227249164187,0.1892779943969145,0.09713639116325841,0.09907866473574256,0.11555281895319833,0.25362028503686274,0.3644194175016794,0.6181821575922501,0.3905019215373371,0.38946804043680033,0.3684057036187087,0.3511673817588776,0.3706859711673086,2.0765055080117265,1.3969472674474734,3.186652068674926,13.371665111402889,0.29864189889949644,Pass-First Playmaker,1.0,None,0.0,Pass-First Playmaker,Pass-First Playmaker,1.0,None,0.0,Pass-First Playmaker,Pass-First Playmaker,1.0,None,0.0,Pass-First Playmaker,Dion Waiters,waitedi01,25.63,5.17,5.9,-0.73,Kentavious Caldwell-Pope,caldwke01,20.07,5.87,3.2,0.6,Shai Gilgeous-Alexander,gilgesh01,36.6,6.73,7.97,0.73
